Neighborhood,Community area,Side,Status,Latitude,Longitude
The Gap,Douglas,South,unclear,41.8342593,-87.619872
Garfield Ridge,Garfield Ridge,Southwest,recognized,41.79272,-87.7623096
Gladstone Park,Jefferson Park,Far North,unofficial,41.9811108,-87.7750136
Gold Coast,Near North Side,Central,recognized,41.9066994,-87.6253308
Golden Gate,Riverdale,Far Southeast,unclear,41.6541653,-87.6081947
Goose Island,Near North Side,Central,unofficial,41.9044551,-87.65441369999999
Graceland West,Lake View,North,unclear,41.9599512,-87.6680743
Grand Boulevard,Grand Boulevard,South,unofficial,41.8130785,-87.6178087
Greater Grand Crossing,Greater Grand Crossing,South,recognized,41.7657032,-87.61525069999999
Greektown,Near West Side,West,recognized,41.87856439999999,-87.6470504
Gresham,Auburn Gresham,Far Southwest,recognized,41.7433773,-87.6561995
Groveland Park,Douglas,South,unofficial,41.8321796,-87.609381
Hamilton Park,Englewood,Southwest,unclear,41.7614103,-87.637436
Hanson Park,Belmont Cragin,Northwest,unclear,41.9212796,-87.7609641
Heart of Chicago,Lower West Side,West,unofficial,41.848532,-87.675755
Hegewisch,Hegewisch,Far Southeast,recognized,41.6554963,-87.54586239999999
Hermosa,Hermosa,Northwest,recognized,41.9207326,-87.7339993
Hollywood Park,North Park,Far North,unofficial,41.9866025,-87.7175292
Homan Square,North Lawndale,West,recognized,41.8696952,-87.7147986
Humboldt Park,Humboldt Park,West,recognized,41.8990752,-87.721293
Hyde Park,Hyde Park,South,recognized,41.7947665,-87.59167529999999
Illinois Medical District,Near West Side,West,unofficial,41.86849429999999,-87.67397489999999
Irving Park,Irving Park,Northwest,recognized,41.9538222,-87.7192875
Irving Woods,Dunning,Northwest,unclear,41.9486764,-87.8300628
The Island,Austin,West,unofficial,41.8670575,-87.7701836
Jackson Park Highlands,South Shore,South,unclear,41.768781,-87.5778935
Jefferson Park,Jefferson Park,Far North,recognized,41.982504,-87.77039979999999
K-Town,North Lawndale,West,unofficial,41.8749507,-87.73538889999999
Kelvyn Park,Hermosa,Northwest,unclear,41.9323486,-87.7443371
Kennedy Park,Morgan Park,Far Southwest,unclear,41.6882328,-87.68569819999999
Kensington,Roseland,Far Southeast,unofficial,41.6822226,-87.60937950000002
Kenwood,Kenwood,South,recognized,41.8094772,-87.59326639999999
Kilbourn Park,Irving Park,Northwest,unofficial,41.942588,-87.73711709999999
Kosciuszko Park,Logan Square,North,unofficial,41.9309688,-87.7250021
Lake Meadows,Douglas,South,unclear,41.835229,-87.6140426
Lake View,Lake View,North,recognized,41.9397814,-87.6589273
Lake View East,Lake View,North,unclear,41.9399723,-87.6492748
Lakewood / Balmoral,Edgewater,Far North,unclear,41.9799008,-87.6624815
LeClaire Courts,Garfield Ridge,Southwest,unclear,41.8103445,-87.7499524
Legends South (Robert Taylor Homes),Grand Boulevard,South,unclear,41.80919799999999,-87.6285506
Lilydale,Roseland,Far Southeast,unofficial,41.7242009,-87.625326
Lincoln Park,Lincoln Park,North,recognized,41.9254701,-87.64877829999999
Lincoln Square,Lincoln Square,Far North,recognized,41.9686816,-87.6889648
Lithuanian Plaza,Chicago Lawn,Southwest,unclear,41.7669896,-87.6873889
"Little Italy, University Village",Near West Side,West,recognized,41.86954009999999,-87.6511328
Little Village,South Lawndale,West,recognized,41.8445273,-87.7050446
Logan Square,Logan Square,North,recognized,41.9230598,-87.70929079999999
Longwood Manor,Washington Heights,Far Southwest,unclear,41.7176094,-87.6455543
The Loop,The Loop,Central,recognized,41.8786351,-87.6250549
Lower West Side,Lower West Side,West,unofficial,41.8523331,-87.6660157
Loyola,Rogers Park,Far North,unclear,41.9987765,-87.6582585
Magnificent Mile,Near North Side,Central,recognized,41.894809,-87.6242142
Margate Park,Uptown,Far North,unofficial,41.97208800000001,-87.64977429999999
Marquette Park,Chicago Lawn,Southwest,unofficial,41.7644001,-87.70285559999999
Marshall Square,South Lawndale,West,unofficial,41.8478965,-87.6953228
Marynook,Avalon Park,Far Southeast,unclear,41.7392485,-87.5927138
Mayfair,Albany Park,Far North,unofficial,41.9645046,-87.73712880000001
McKinley Park,McKinley Park,Southwest,recognized,41.8316175,-87.6729074
Merchant Park,Irving Park,Northwest,unclear,41.945622,-87.7331909
Montclare,Montclare,Northwest,recognized,41.929382,-87.7981597
Morgan Park,Morgan Park,Far Southwest,recognized,41.6875296,-87.6691646
Mount Greenwood,Mount Greenwood,Far Southwest,recognized,41.6915904,-87.7008049
Museum Campus,Near South Side,Central,unofficial,41.8635952,-87.6162555
New Eastside,The Loop,Central,unclear,41.8862397,-87.61742079999999
Near North Side,Near North Side,Central,recognized,41.90391,-87.6314629
Near West Side,Near West Side,West,recognized,41.8668456,-87.6664093
Asia on Argyle,Uptown,Far North,unofficial,41.9732234,-87.6587651
Noble Square,West Town,West,unofficial,41.8993311,-87.6638512
North Austin,Austin,West,unofficial,41.9093812,-87.7657445
North Center,North Center,North,unofficial,41.9467449,-87.6882569
North Halsted,Lake View,North,unofficial,41.94129355,-87.64910997736813
North Kenwood,Kenwood,South,unclear,41.8132628,-87.5992004
North Lawndale,North Lawndale,West,unofficial,41.8589782,-87.7152017
North Mayfair,Albany Park,Far North,unofficial,41.971802,-87.7373866
North Park,North Park,Far North,recognized,41.9828479,-87.72844289999999
Nortown,West Ridge,Far North,unclear,42.0050177,-87.69050480000001
Norwood Park East,Norwood Park,Far North,unclear,41.9937633,-87.7875943
Norwood Park West,Norwood Park,Far North,unclear,41.9906475,-87.8167817
Oakland,Oakland,South,recognized,41.8226995,-87.60135679999999
O'Hare,O'Hare,Far North,recognized,41.9772983,-87.8368909
Old Edgebrook,Forest Glen,Far North,unofficial,41.9948018,-87.76768659999999
Old Irving Park,Irving Park,Northwest,unofficial,41.95354589999999,-87.7380684
Old Norwood,Norwood Park,Far North,unofficial,41.9880826,-87.8029213
Old Town,Near North Side / Lincoln Park,Central,recognized,41.9110773,-87.6410116
Oriole Park,Norwood Park,Far North,unofficial,41.9761141,-87.8169157
Palmer Square,Logan Square,North,unofficial,41.9210705,-87.70048229999999
Park Manor,Greater Grand Crossing,South,unclear,41.7656921,-87.61525089999999
Park West,Lincoln Park,North,recognized,41.9289391,-87.64412659999999
Parkview,Ashburn,Far Southwest,unclear,41.7381503,-87.7141857
Peterson Park,West Ridge,Far North,unofficial,41.9847536,-87.70371349999999
Pill Hill,Calumet Heights,Far Southeast,unofficial,41.7262529,-87.5757752
Pilsen,Lower West Side,West,recognized,41.8524902,-87.6562598
Polish Downtown,West Town,West,unofficial,41.9031814,-87.6670049
Portage Park,Portage Park,Northwest,unofficial,41.953217,-87.76455759999999
Prairie Avenue Historic District,Near South Side,Central,unclear,41.85765869999999,-87.62265939999999
Prairie Shores,Douglas,South,unofficial,41.8423119,-87.61491079999999
Princeton Park,Roseland,Far Southeast,unofficial,41.72639640000001,-87.6309224
Printer's Row,The Loop,Central,recognized,41.8737868,-87.6288996
Pulaski Park,West Town,West,unofficial,41.9051078,-87.6624135
Pullman,Pullman,Far Southeast,recognized,41.7076167,-87.594188
Ranch Triangle,Lincoln Park,North,unclear,41.9151277,-87.6528359
Ravenswood,Lincoln Square,Far North,unofficial,41.9688072,-87.6791713
Ravenswood Gardens,Lincoln Square,Far North,unclear,41.9647413,-87.69385779999999
Ravenswood Manor,Albany Park,Far North,unofficial,41.9648891,-87.7012498
River North,Near North Side,Central,recognized,41.89238479999999,-87.6340749
River West,West Town,West,unofficial,41.8944333,-87.64948079999999
River's Edge,North Park,Far North,unclear,41.9782524,-87.7373199
Riverdale,Riverdale,Far Southeast,recognized,41.6610903,-87.60380479999999
